policy_loss,serial_timesteps,time_elapsed,policy_entropy,fps,approxkl,value_loss,ep_reward_mean,n_updates,clipfrac,explained_variance,total_timesteps
-3.8554135e-05,13056,2177.0142002105713,2.8415587,24,5.8837282e-05,563.8214,1.1920471149798253,51,0.0,0.0015174150466918945,52224
-0.00012541362,13312,2219.1697952747345,2.8416016,23,1.4216464e-05,546.6579,1.6919449291113646,52,0.0,0.006211578845977783,53248
0.00016718247,13568,2262.0209698677063,2.841659,26,1.215378e-05,617.91,2.2648363236927054,53,0.0,0.00583803653717041,54272
0.00073032326,13824,2301.0155715942383,2.8417299,22,5.6720157e-05,492.72372,2.2369153859345596,54,0.0,0.0029792189598083496,55296
-0.00020594787,14080,2347.123412132263,2.8417728,26,3.537722e-05,568.2085,2.1583568642734456,55,0.0,0.004792749881744385,56320
0.00036790522,14336,2386.1224727630615,2.8417199,26,3.9256014e-05,663.33344,1.697706240259445,56,0.0,0.008058249950408936,57344
-7.557485e-05,14592,2425.3517203330994,2.8417642,22,6.152633e-05,674.92444,2.7267836414663713,57,0.0,-0.0009691715240478516,58368
-4.2869942e-05,14848,2471.743705034256,2.8417578,26,1.828645e-05,916.53064,2.9365994792944554,58,0.0,-0.0057830810546875,59392
-0.0003620143,15104,2510.4356570243835,2.8416498,22,2.457838e-05,374.9313,1.2046815298787925,59,0.0,-0.00020706653594970703,60416
-0.00025151385,15360,2555.3912358283997,2.8415813,24,8.607815e-05,380.8111,2.7041275031431793,60,0.0,0.0010037422180175781,61440
-0.00021982248,15616,2596.7775485515594,2.8415806,23,2.597288e-05,316.37213,1.3582215305196794,61,0.0,0.004341244697570801,62464
0.00020496378,15872,2641.1004152297974,2.8416033,24,5.1105482e-05,1004.49243,2.768919684956073,62,0.0,-0.0039054155349731445,63488
-8.15689e-05,16128,2682.96462392807,2.8416677,23,6.797752e-05,935.6531,2.7993368533212375,63,0.0,0.0028465986251831055,64512
-0.00034534096,16384,2726.0581588745117,2.8415582,24,3.9136867e-05,378.60287,1.4124234048954585,64,0.0,0.0017630457878112793,65536
-6.131458e-05,16640,2768.454211950302,2.8414867,26,2.1567299e-05,916.4899,1.8525168839309984,65,0.0,0.0011809468269348145,66560
-0.00011209544,16896,2806.729125738144,2.8414087,26,1.5285095e-05,609.25,2.6326809825440085,66,0.0,0.0013844966888427734,67584
-4.3642067e-05,17152,2845.262400150299,2.8413208,24,1.9191984e-05,430.367,1.4238792582511786,67,0.0,0.0008376836776733398,68608
-0.00013303617,17408,2887.2689266204834,2.8414311,22,6.0943872e-05,388.7908,1.7958091897611204,68,0.0,0.0015200376510620117,69632
0.000100983016,17664,2932.825050830841,2.841678,23,2.4945992e-05,587.4559,1.9905469418096053,69,0.0,0.0018402934074401855,70656
0.0001291479,17920,2975.933207511902,2.841784,22,4.4498072e-05,623.24634,2.33260546004263,70,0.0,0.00042933225631713867,71680
-0.0001202758,18176,3020.811315536499,2.8417752,27,1.4342056e-05,753.0976,2.5071828121258237,71,0.0,0.0032026171684265137,72704
-0.00034750113,18432,3058.6369864940643,2.8418396,24,9.816921e-06,602.2238,1.5783155956980424,72,0.0,0.0010340213775634766,73728
-0.000262801,18688,3100.56138920784,2.8420415,26,6.3672545e-05,488.75424,2.5232294994594335,73,0.0,0.0009690523147583008,74752
-0.00040643863,18944,3139.7598898410797,2.8421502,24,4.134191e-05,454.08496,1.2205649455068754,74,0.0,-0.00013327598571777344,75776
-6.158819e-05,19200,3182.0716183185577,2.8421898,25,6.5723354e-05,1664.9812,1.9725163036452507,75,0.0,0.0021501779556274414,76800
